Proportion,Mean_Variance
50.0,0.12471784412595412
51.0,0.116552753481918
52.0,0.1094433617088818
53.0,0.1125125118340815
54.0,0.11081553155397836
55.0,0.1138391969718395
56.0,0.1122966160277348
57.0,0.11072307915273547
58.0,0.11366940313701619
59.0,0.1059819816536679
60.0,0.10943037008149695
61.0,0.10972867071874537
62.0,0.11050110696275742
63.0,0.10738707520851859
64.0,0.10872995844222065
65.0,0.11149562108308204
66.0,0.11016291539016906
67.0,0.11037497855188858
68.0,0.107465731199058
69.0,0.113308896350598
70.0,0.10778861420062517
71.0,0.10684880384530106
72.0,0.10976322193276448
73.0,0.10731194450428827
74.0,0.11355392585468917
75.0,0.11083668073723044
76.0,0.1115606662339249
77.0,0.10898129474244313
78.0,0.10960413536438135
79.0,0.11062824579258958
80.0,0.11278213406119364
81.0,0.1110082756782387
82.0,0.11378894524256437
83.0,0.11296009598391603
84.0,0.11676880113492563
85.0,0.11696197107630117
86.0,0.11481753034482499
87.0,0.11496557076899713
88.0,0.11736338002692757
89.0,0.11943107393380051
90.0,0.11765004891968633
91.0,0.12249131757942604
92.0,0.12497142996909788
93.0,0.1260305504628082
94.0,0.12596433686006325
95.0,0.12875612897653096
96.0,0.13217760095264294
97.0,0.13743331630035235
98.0,0.13709886508266772
99.0,0.14391926611647976
100.0,0.1533598522613486
